,TH[V],HV[V],N[5min]
0,0,750,0.64
1,0.000900901,750.4304304,0.64
2,0.001801802,750.8608609,0.64
3,0.002702703,751.2912913,0.64
4,0.003603604,751.7217217,0.64
5,0.004504505,752.1521522,0.64
6,0.005405405,752.5825826,0.64
7,0.006306306,753.013013,0.64
8,0.007207207,753.4434434,0.64
9,0.008108108,753.8738739,0.64
10,0.009009009,754.3043043,0.64
11,0.00990991,754.7347347,0.64
12,0.010810811,755.1651652,0.64
13,0.011711712,755.5955956,0.64
14,0.012612613,756.026026,0.64
15,0.013513514,756.4564565,0.64
16,0.014414414,756.8868869,0.64
17,0.015315315,757.3173173,0.64
18,0.016216216,757.7477477,0.64
19,0.017117117,758.1781782,0.64
20,0.018018018,758.6086086,0.64
21,0.018918919,759.039039,0.64
22,0.01981982,759.4694695,0.64
23,0.020720721,759.8998999,0.64
24,0.021621622,760.3303303,0.64
25,0.022522523,760.7607608,0.64
26,0.023423423,761.1911912,0.64
27,0.024324324,761.6216216,0.64
28,0.025225225,762.0520521,0.64
29,0.026126126,762.4824825,0.64
30,0.027027027,762.9129129,0.64
31,0.027927928,763.3433433,0.64
32,0.028828829,763.7737738,0.64
33,0.02972973,764.2042042,0.64
34,0.030630631,764.6346346,0.64
35,0.031531532,765.0650651,0.64
36,0.032432432,765.4954955,0.64
37,0.033333333,765.9259259,0.64
38,0.034234234,766.3563564,0.64
39,0.035135135,766.7867868,0.64
40,0.036036036,767.2172172,0.64
41,0.036936937,767.6476476,0.64
42,0.037837838,768.0780781,0.64
43,0.038738739,768.5085085,0.64
44,0.03963964,768.9389389,0.64
45,0.040540541,769.3693694,0.64
46,0.041441441,769.7997998,0.64
47,0.042342342,770.2302302,0.64
48,0.043243243,770.6606607,0.64
49,0.044144144,771.0910911,0.64
50,0.045045045,771.5215215,0.64
51,0.045945946,771.951952,0.64
52,0.046846847,772.3823824,0.64
53,0.047747748,772.8128128,0.64
54,0.048648649,773.2432432,0.64
55,0.04954955,773.6736737,0.64
56,0.05045045,774.1041041,0.64
57,0.051351351,774.5345345,0.64
58,0.052252252,774.964965,0.64
59,0.053153153,775.3953954,0.64
60,0.054054054,775.8258258,0.64
61,0.054954955,776.2562563,0.64
62,0.055855856,776.6866867,0.64
63,0.056756757,777.1171171,0.64
64,0.057657658,777.5475475,0.64
65,0.058558559,777.977978,0.64
66,0.059459459,778.4084084,0.64
67,0.06036036,778.8388388,0.64
68,0.061261261,779.2692693,0.64
69,0.062162162,779.6996997,0.64
70,0.063063063,780.1301301,0.64
71,0.063963964,780.5605606,0.64
72,0.064864865,780.990991,0.64
73,0.065765766,781.4214214,0.64
74,0.066666667,781.8518519,0.64
75,0.067567568,782.2822823,0.64
76,0.068468468,782.7127127,0.64
77,0.069369369,783.1431431,0.64
78,0.07027027,783.5735736,0.64
79,0.071171171,784.004004,0.64
80,0.072072072,784.4344344,0.64
81,0.072972973,784.8648649,0.64
82,0.073873874,785.2952953,0.64
83,0.074774775,785.7257257,0.64
84,0.075675676,786.1561562,0.64
85,0.076576577,786.5865866,0.64
86,0.077477477,787.017017,0.64
87,0.078378378,787.4474474,0.64
88,0.079279279,787.8778779,0.64
89,0.08018018,788.3083083,0.64
90,0.081081081,788.7387387,0.64
91,0.081981982,789.1691692,0.64
92,0.082882883,789.5995996,0.64
93,0.083783784,790.03003,0.64
94,0.084684685,790.4604605,0.64
95,0.085585586,790.8908909,0.64
96,0.086486486,791.3213213,0.64
97,0.087387387,791.7517518,0.64
98,0.088288288,792.1821822,0.64
99,0.089189189,792.6126126,0.64
100,0.09009009,793.043043,0.64
101,0.090990991,793.4734735,0.64
102,0.091891892,793.9039039,0.64
103,0.092792793,794.3343343,0.64
104,0.093693694,794.7647648,0.64
105,0.094594595,795.1951952,0.64
106,0.095495495,795.6256256,0.64
107,0.096396396,796.0560561,0.64
108,0.097297297,796.4864865,0.64
